Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
今永　昇太,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
入江　大生,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
エスコバー,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
オースティン,2,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,DeNA BayStars,
大田　泰示,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
大貫　晋一,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
神里　和毅,2,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.500,.500,.667,DeNA BayStars,
楠本　泰史,2,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,DeNA BayStars,
桑原　将志,3,9,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,DeNA BayStars,
佐野　恵太,3,11,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,.100,.100,.182,DeNA BayStars,
関根　大気,2,5,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,.000,.000,.400,DeNA BayStars,
ソト,3,9,7,0,4,2,0,0,6,0,0,0,0,0,2,1,0,0,1,.571,.857,.667,DeNA BayStars,
戸柱　恭孝,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
濵口　遥大,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,DeNA BayStars,
藤田　一也,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.333,.333,.333,DeNA BayStars,
